id;Edad;GENERO;NUMERO_HIJOS;PROFESION;SERVICIO;TIEMPO_PROPIETARIO;KILOMETRAJE_INSTALACION;EdadLicencia;RELACION_ASEGURADO;CILINDRAJE;CIUDAD;Min(Recorrido(Km));Min(Frenadas(Uni));Min(Arrancadas(Uni));Min(Aceleraciones(Uni));Min(ExcesoVelocidad(Min));Min(MaximaVelocidad(Km/h));Min(TiempoUso(Min));Min(UsoZona(Min));Min(FueraZona(Min));Min(Colision);Max(Recorrido(Km));Max(Frenadas(Uni));Max(Arrancadas(Uni));Max(Aceleraciones(Uni));Max(ExcesoVelocidad(Min));Max(MaximaVelocidad(Km/h));Max(TiempoUso(Min));Max(UsoZona(Min));Max(FueraZona(Min));Max(Colision);Mean(Recorrido(Km));Mean(Frenadas(Uni));Mean(Arrancadas(Uni));Mean(Aceleraciones(Uni));Mean(ExcesoVelocidad(Min));Mean(MaximaVelocidad(Km/h));Mean(TiempoUso(Min));Mean(UsoZona(Min));Mean(FueraZona(Min));Mean(Colision);MARCA;CLASE;TIPO;MODELO;SINIESTROS_2016;SINIESTROS_2017;SINIESTROS_2018
72264845;47.89;Femenino;3;Contador Publico;Particular;1;9.971;17.42;Asegurado;1800;BOGOTA;1;0;0;0;0;0;9;0;9;0;23;0;0;2;0;0;48;0;48;0;12.83;0;0;0.67;0;0;29.83;0;29.83;0;MAZDA;CAMIONETA PASAJ.;5;2008;0;0;0
6671539;58.58;Femenino;3;Consultor-Negocios;Particular;1;10.5;11.81;Asegurado;3000;BOGOTA;1;0;0;0;0;0;3;0;0;0;62;12;0;0;11;122.1;60;60;60;0;9.57;1.52;0;0;0.08;2.54;25.22;21.46;3.76;0;MITSUBISHI;CAMPERO;MONTERO;2000;0;0;0
43602351;43.67;Femenino;2;Ingeniero;Particular;1;10.525;2.87;Asegurado;1400;BOGOTA;1;0;0;0;0;0;4;2;0;0;19;12;21;5;1;101.75;42;42;10;0;5.54;1.15;5.04;0.8;0.02;2.11;19.22;18.5;0.72;0;RENAULT;AUTOMOVIL;LOGAN;2006;0;0;0
59691187;58.93;Femenino;1;Medico;Particular;14;10.653;25.47;Asegurado;1800;BOGOTA;0;0;0;0;0;0;0;0;0;0;24;25;33;6;0;0;60;60;31;1;3.13;2.94;4.9;0.57;0;0;18.3;18.21;0.08;0;CHEVROLET;AUTOMOVIL;SPRINT;1994;0;0;1
70646925;71.85;Masculino;4;Contador Publico;Particular;1;10.841;39.24;Asegurado;1800;BOGOTA;1;0;0;0;0;0;3;0;0;0;73;88;14;20;24;129.5;60;47;60;0;7.87;1.88;0.8;0.73;0.19;5.26;22.65;7.06;15.59;0;KIA;CAMPERO;SORENTO;2008;0;0;0
12755998;70.1;Masculino;4;Profesor;Particular;19;10.874;13.24;Asegurado;1600;BOGOTA;1;0;0;0;0;0;1;0;0;0;64;10;1;9;16;122.1;59;47;59;0;6.31;0.09;0.01;0.14;0.17;2.89;18.45;13.16;5.29;0;RENAULT;AUTOMOVIL;MEGANE II F.II HB;2008;0;0;0
26705860;29.81;Masculino;0;Internet;Particular;1;10.957;1.21;Asegurado;1800;BOGOTA;1;0;0;0;0;0;3;0;0;0;66;13;1;17;13;129.5;60;57;60;1;8.15;0.5;0.01;0.29;0.37;15.36;20.03;14.44;5.59;0.01;CHEVROLET;AUTOMOVIL;AVEO;2009;0;0;0
12123325;44.43;Masculino;0;Contador Publico;Particular;1;11.561;2.99;Asegurado;1400;BOGOTA;0;0;0;0;0;0;0;0;0;0;18;5;1;20;2;123.95;54;54;49;2;4.01;0.39;0;1.01;0.11;10.37;16.79;10.12;6.67;0.01;CHEVROLET;AUTOMOVIL;AVEO;2008;0;0;0
92483875;48.27;Masculino;2;Contador Publico;Particular;1;11.582;2.74;Asegurado;1800;BOGOTA;0;0;0;0;0;0;0;0;0;0;72;3;1;13;3;105.45;60;60;60;1;4.57;0.06;0;0.89;0.01;1.27;16.44;15.07;1.37;0;CHEVROLET;AUTOMOVIL;OPTRA;2008;1;0;1
43500601;41.92;Masculino;2;Plomero;Particular;1;11.92;9.02;Asegurado;2500;BOGOTA;12;2;1;0;1;94.35;31;24;7;0;12;2;1;0;1;94.35;31;24;7;0;12;2;1;0;1;94.35;31;24;7;0;CHEVROLET;AUTOMOVIL;AVEO;2008;0;1;0
20708606;49.9;Femenino;1;Publicidad-Animacion;Particular;1;11.928;2.76;Asegurado;2500;BOGOTA;0;0;0;0;0;0;0;0;0;0;51;32;3;29;51;118.4;60;60;60;2;5.07;0.24;0;1.74;0.53;2.15;18.7;17.07;1.63;0;CHEVROLET;AUTOMOVIL;AVEO;2008;0;0;0
19716844;43.34;Masculino;3;Decorador-Disenhador y Dibujante;Particular;1;11.97;4.19;Asegurado;1000;CANDELARIA;0;0;0;0;0;0;0;0;0;0;60;22;8;18;21;125.8;60;58;60;1;10.75;0.87;0.03;2.62;0.45;22.91;27.13;13.87;13.26;0.01;CHEVROLET;AUTOMOVIL;SPARK [2];2008;1;1;0
67271209;37.53;Masculino;1;Consultor-Negocios;Particular;1;12.009;2.74;Conyugue;2500;BOGOTA;0;0;0;0;0;0;0;0;0;0;72;6;21;16;32;122.1;60;53;60;1;5.69;0.33;1.19;0.82;0.33;3.86;17.86;14.72;3.13;0.01;RENAULT;AUTOMOVIL;TWINGO;2009;0;0;0
28122108;50.17;Masculino;2;Ingeniero;Particular;1;12.027;27.98;Asegurado;1800;BOGOTA;0;0;0;0;0;0;0;0;0;0;69;15;4;12;59;116.55;60;0;60;1;7.25;0.08;0.01;1.3;1.46;4.42;23.83;0;23.83;0;MAZDA;AUTOMOVIL;3;2008;0;0;1
56186171;48.75;Masculino;2;Servicios de Informatica;Particular;1;12.045;1.01;Asegurado;1800;BOGOTA;1;0;0;0;0;0;5;0;0;0;44;17;1;5;4;112.85;60;60;49;1;8.04;1.88;0.01;0.8;0.11;4.15;24.24;19.99;4.25;0.01;MAZDA;AUTOMOVIL;ALLEGRO;2000;0;0;0
89479063;28.77;Femenino;0;Consultor-Negocios;Particular;1;12.154;2.84;Asegurado;1400;BOGOTA;1;0;0;0;0;0;2;0;0;0;30;4;7;6;3;123.95;54;54;32;0;4.03;0.21;0.75;0.3;0.07;5.57;13.28;12.58;0.7;0;CHEVROLET;AUTOMOVIL;AVEO;2007;0;0;0
98714126;47.85;Femenino;2;Internet;Particular;3;12.345;1.95;Asegurado;1300;MEDELLIN;0;0;0;0;0;0;0;0;0;0;45;7;1;16;6;120.25;60;59;60;2;9.82;0.2;0;2.02;0.11;7.73;25.09;17.56;7.53;0.01;MAZDA;AUTOMOVIL;ALLEGRO;2001;0;0;0
61077231;44.24;Masculino;2;Decorador-Disenhador y Dibujante;Particular;1;12.455;20.14;Asegurado;2500;CALI;1;0;0;0;0;0;4;0;0;0;69;5;3;11;33;114.7;58;58;56;1;8.03;0.57;0.18;1.05;0.7;6.55;23.35;17.34;6.01;0;CHEVROLET;AUTOMOVIL;AVEO;2008;0;0;0
61871438;45.22;Femenino;2;Servicios de Informatica;Particular;4;12.456;26.12;Asegurado;2500;BOGOTA;1;0;0;0;0;0;4;0;0;0;65;4;9;5;15;125.8;60;54;58;0;6.56;0.53;1.6;0.28;0.17;1.65;19.7;17.33;2.37;0;CHEVROLET;AUTOMOVIL;AVEO;2006;0;0;0
99043061;25.81;Masculino;0;Ingeniero;Particular;4;12.457;1.79;Asegurado;1800;BOGOTA;0;0;0;0;0;0;0;0;0;0;57;67;19;0;6;120.25;57;46;57;1;5.29;0.84;3.25;0;0.07;6.09;15.91;14.35;1.56;0.01;CHEVROLET;AUTOMOVIL;CORSA EVOLUTION;2006;0;0;0
38722518;43.31;Femenino;0;Abogado;Particular;1;12.458;26.38;Asegurado;1200;BOGOTA;0;0;0;0;0;0;0;0;0;0;27;2;10;6;2;92.5;60;30;60;1;4.97;0.1;0.01;0.51;0;0.1;19.73;0.62;19.1;0;RENAULT;AUTOMOVIL;TWINGO;2006;0;0;0
15280639;49.83;Masculino;0;Profesor;Particular;1;12.775;31.59;Asegurado;3000;BOGOTA;1;0;0;0;0;0;3;0;0;0;60;5;1;24;10;120.25;58;56;58;0;8.73;0.13;0.01;0.34;0.4;18.19;20.69;16.72;3.97;0;FORD;CAMPERO;ESCAPE [2];2008;0;0;1
37941976;34.59;Femenino;0;Ingeniero;Particular;1;12.777;15.57;Asegurado;1000;BOGOTA;0;0;0;0;0;0;0;0;0;0;82;4;1;6;42;129.5;59;57;59;2;7.17;0.26;0;0.18;0.55;5.23;20.14;16.05;4.08;0.01;CHEVROLET;AUTOMOVIL;SPARK;2008;0;0;0
72822754;66.09;Masculino;4;Contador Publico;Particular;2;12.8;5.99;Asegurado;1600;BOGOTA;1;0;0;0;0;0;4;0;0;0;53;8;30;8;17;129.5;60;58;60;0;7.53;0.54;2.4;0.56;0.23;8.63;23.05;10.43;12.62;0;RENAULT;AUTOMOVIL;LOGAN;2006;0;0;0
95243508;73.58;Masculino;8;Profesor;Particular;1;13.397;14.28;Asegurado;1800;BOGOTA;1;0;0;0;0;0;5;0;5;0;50;3;0;16;7;105.45;60;0;60;0;9.41;0.2;0;0.43;0.39;14.98;25.29;0;25.29;0;CHEVROLET;AUTOMOVIL;OPTRA;2008;1;0;0
44766105;46.55;Masculino;0;Economista;Particular;1;13.498;2.7;Hermano;1600;BOGOTA;1;0;0;0;0;0;3;0;0;0;44;4;1;0;5;123.95;60;57;59;1;5.8;0.19;0;0;0.08;6.75;19.44;13.62;5.82;0;RENAULT;AUTOMOVIL;LOGAN;2008;0;0;0
40992469;61.95;Femenino;2;Disenhador Paginas web;Particular;1;13.518;2.88;Asegurado;5400;BOGOTA;0;0;0;0;0;0;0;0;0;0;59;6;1;25;51;107.3;60;59;60;3;8.23;0.26;0;1.38;0.63;4.8;22.97;12.01;10.97;0.01;DAIHATSU;CAMPERO;TERIOS;2008;0;0;0
65203867;33.68;Femenino;0;Internet;Particular;4;13.617;3.22;Asegurado;2500;BOGOTA;0;0;0;0;0;0;0;0;0;0;62;2;1;22;16;105.45;60;60;60;2;7.99;0.03;0.02;1.14;0.16;2.3;22.68;18.14;4.54;0;CHEVROLET;AUTOMOVIL;AVEO;2008;0;0;0
97415746;30.64;Femenino;0;Publicidad-Animacion;Particular;1;13.973;1.21;Asegurado;1800;BOGOTA;1;0;0;0;0;0;2;0;0;0;39;14;3;11;2;109.15;58;51;58;0;5.15;0.11;0.02;0.31;0.02;1.86;16.65;3.6;13.05;0;CHEVROLET;AUTOMOVIL;OPTRA;2008;0;0;0
84661371;33.52;Masculino;0;Profesor;Particular;1;14.092;3.13;Asegurado;1400;BOGOTA;1;0;0;0;0;0;4;0;0;0;64;2;1;18;14;125.8;60;60;59;0;8.38;0.01;0.01;2.06;0.15;5.36;23.73;21.1;2.62;0;CHEVROLET;AUTOMOVIL;AVEO;2008;0;0;0
